x,y,t
10.378822719999993,55.35901504720298,71724084
10.378919309999995,55.35901980720363,71726247
10.378983240000005,55.35906309720952,71728392
10.378990419999992,55.35916937722399,71730531
10.378974830000006,55.35925656723586,71732663
10.379002380000012,55.359338757247066,71734814
10.379102750000001,55.35940963725671,71736955
10.379235309999986,55.35943776726056,71739112
10.379397370000017,55.35943747726051,71741305
10.379556109999998,55.35943560726027,71743458
10.37973104000001,55.3594072572564,71745632
10.379916999999995,55.359391747254286,71747789
10.380065489999996,55.359385007253366,71749934
10.38023523000001,55.35938180725292,71752100
10.380395090000002,55.3593816072529,71754266
10.380843469999993,55.3593736172518,71760445
10.380975409999994,55.359397047254994,71762586
10.381095719999989,55.35939910725529,71764740
10.381272180000012,55.35941527725748,71766883
10.381415450000004,55.35941476725741,71769020
10.381562649999994,55.35942905725936,71771166
10.381710389999993,55.359454297262815,71773312
10.381827789999988,55.3594872672673,71775469
10.381960280000003,55.35954585727528,71777623
10.382085179999997,55.35955672727677,71779765
10.382201510000002,55.35959257728164,71781707
10.382310949999994,55.3596224672857,71783844
10.382409149999996,55.35966593729162,71785991
10.382503599999996,55.35970241729661,71788130
10.382591310000002,55.35973223730066,71790292
10.38270377,55.35975968730442,71792467
10.382822760000002,55.35976186730471,71794646
10.382942759999986,55.35977679730674,71796805
10.383178140000004,55.35978687730811,71802986
10.383333209999988,55.35978689730812,71807301
10.38342945,55.35983838731512,71809461
10.383433519999997,55.35991167732512,71811627
10.383468480000001,55.35998407733499,71813770
10.383484500000003,55.36009530735014,71815906
10.383671139999983,55.360450457398535,71822104
10.38365542,55.36053133740955,71824270
10.383671609999995,55.360726807436194,71828573
10.383687180000003,55.36082330744935,71830725
10.383725500000002,55.36093556746466,71832876
10.383769799999994,55.361010377474855,71835024
10.383839940000005,55.361108977488286,71837287
10.38388519000001,55.36122583750423,71839507
10.38405334999999,55.36152146754451,71845680
10.384139119999999,55.36161481755724,71847833
10.38417883000001,55.36171239757056,71849992
10.384233909999999,55.36180539758324,71852163
10.384290560000002,55.36187586759284,71854322
10.384369280000001,55.3619590276042,71856459
10.384423659999998,55.36203363761437,71858630
10.384497789999987,55.36209078762216,71860789
10.384597980000013,55.36213436762809,71862949
10.384867169999996,55.36228728764895,71869616
10.385005909999997,55.36233277765516,71871750
10.38507743000001,55.36240141766452,71873917
10.385161339999993,55.36247007767387,71876075
10.38532044000002,55.36258965769019,71880388
10.38541417999999,55.362673297701605,71882547
10.385513600000017,55.36274374771121,71884711
10.385647269999998,55.36280551771965,71886857
10.385880409999979,55.36291728773489,71891181
10.38598367000001,55.36297501774277,71893348
10.386095879999992,55.36304002775162,71895526
10.386232690000009,55.36311464776179,71897702
10.386373449999994,55.36316816776911,71899854
10.386521690000016,55.363246137779754,71902001
10.386725369999997,55.36327478778365,71904204
10.386910120000012,55.36333042779125,71906659
10.387083699999993,55.36338491779869,71908814
10.387278799999994,55.3634509878077,71910981
10.38748232999999,55.363498597814186,71913133
10.387639049999995,55.36356658782346,71915297
10.387822069999984,55.363621407830955,71917452
10.388038839999991,55.36364781783456,71919601
10.388227939999997,55.3636832678394,71921758
10.388457510000004,55.36372838784555,71924682
10.388719010000004,55.36378255785294,71927624
10.388944970000017,55.36383780786048,71929813
10.389093230000011,55.36389191786787,71931961
10.38931179999999,55.36395499787648,71934141
10.389499969999992,55.36399940788253,71936281
10.389713290000007,55.36404427788867,71938425
10.389948610000005,55.364057877890524,71940648
10.390194620000017,55.364110247897685,71943628
10.390345369999999,55.3641507579032,71945795
10.390519979999999,55.36420819791104,71947959
10.390723240000012,55.364244647916024,71950109
10.390868379999993,55.364267097919075,71952260
10.391018770000006,55.36427934792074,71954434
10.391175519999994,55.364274157920036,71956576
10.391274379999992,55.36426640791898,71958766
10.391285309999986,55.36425198791701,71969733
10.39130135,55.36420812791103,71978320
10.391302390000014,55.36421532791202,71982691
10.391442579999996,55.364206467910805,71984843
10.391592650000012,55.36417213790612,71986997
10.391778209999991,55.364162407904786,71989168
10.391987750000002,55.36417799790692,71991311
10.39214778000001,55.36417940790711,71993463
10.392342380000006,55.36416647790535,71995630
10.39251061,55.364152707903465,71997785
10.392652250000008,55.36412863790017,71999990
10.392849760000006,55.36413351790084,72002647
10.393034560000011,55.36412467789965,72005633
10.393185099999995,55.36410938789756,72007800
10.393530039999993,55.364044267888666,72012118
10.393686749999999,55.36403760788776,72014260
10.393845529999988,55.36400067788271,72016387
10.394025170000006,55.364001607882834,72018528
10.394203859999994,55.36398728788088,72020699
10.394381560000014,55.363980617879974,72022870
10.394957699999997,55.363966507878054,72031902
10.395108990000008,55.363887107867214,72034070
10.395255760000012,55.363865577864274,72036218
10.39579301,55.36369724784131,72043757
10.396057059999993,55.363673007838,72048103
10.396184699999981,55.36366601783704,72050260
10.396311300000002,55.36366108783638,72052450
10.39645065,55.36367335783804,72054598
10.396579900000003,55.36365602783568,72056761
10.396750979999997,55.36365156783508,72058993
10.396888879999992,55.36364164783372,72061138
10.39701226999999,55.363643637834,72063294
10.397144920000011,55.36363904783337,72065461
10.39741398,55.36360183782829,72069762
10.397562509999993,55.36359050782673,72071980
10.39771077999999,55.36357273782433,72074148
10.39786639999999,55.36355648782209,72076656
10.398069179999997,55.36354756782087,72079601
10.398194439999996,55.3635301078185,72081760
10.398316549999995,55.363508077815496,72083906
10.398460520000004,55.36349512781373,72086040
10.398589790000003,55.363478967811524,72088191
10.398702469999993,55.3634664078098,72090331
10.39882649999999,55.363446567807095,72092553
10.399034379999994,55.363431327805024,72095586
10.39918754000002,55.36340938780202,72097733
10.39937462999998,55.36335105779406,72100610
